;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;theme;demographic;duration;rating;score;ranked;popularity;members;favorites;themes;platforms;synopsis
0;Fullmetal Alchemist: Brotherhood;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009),;鋼の錬金術師 FULLMETAL ALCHEMIST;TV;64;Finished Airing;Apr 5, 2009 to Jul 4, 2010;Spring 2009;Sundays at 17:00 (JST);['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken'];Funimation, Aniplex of America;Bones;Manga;['Action', 'Adventure', 'Drama', 'Fantasy'];Military;Shounen;24 min. per ep.;R - 17+ (violence & profanity);9.11;#2;#3;3,101,136;213,916;;['Crunchyroll', 'Funimation'];"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.  The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.  As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.  [Written by MAL Rewrite]"
1;Sword Art Online;https://myanimelist.net/anime/11757/Sword_Art_Online;https://cdn.myanimelist.net/resources/mxj_panel/2022/20221116_paralive_club_event.png;S.A.O, SAO;ソードアート・オンライン;TV;25;Finished Airing;Jul 8, 2012 to Dec 23, 2012;Summer 2012;Sundays at 00:00 (JST);['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works', 'Bandai Namco Games'];Aniplex of America;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy', 'Romance'];;;23 min. per ep.;PG-13 - Teens 13 or older;7.20;#3118;#5;2,902,657;66,282;['Love Polygon', 'Video Game'];['Crunchyroll', 'Funimation', ''];"Ever since the release of the innovative NerveGear, gamers from all around the globe have been given the opportunity to experience a completely immersive virtual reality. Sword Art Online (SAO), one of the most recent games on the console, offers a gateway into the wondrous world of Aincrad, a vivid, medieval landscape where users can do anything within the limits of imagination. With the release of this worldwide sensation, gaming has never felt more lifelike.  However, the idyllic fantasy rapidly becomes a brutal nightmare when SAO's creator traps thousands of players inside the game. The ""log-out"" function has been removed, with the only method of escape involving beating all of Aincrad's one hundred increasingly difficult levels. Adding to the struggle, any in-game death becomes permanent, ending the player's life in the real world.  While Kazuto ""Kirito"" Kirigaya was fortunate enough to be a beta-tester for the game, he quickly finds that despite his advantages, he cannot overcome SAO's challenges alone. Teaming up with Asuna Yuuki and other talented players, Kirito makes an effort to face the seemingly insurmountable trials head-on. But with difficult bosses and threatening dark cults impeding his progress, Kirito finds that such tasks are much easier said than done.  [Written by MAL Rewrite]"
2;Naruto;https://myanimelist.net/anime/20/Naruto;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;NARUTO;ナルト;TV;220;Finished Airing;Oct 3, 2002 to Feb 8, 2007;Fall 2002;Thursdays at 19:30 (JST);['TV Tokyo', 'Aniplex', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];Martial Arts;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;7.98;#611;#8;2,661,456;74,807;;['Crunchyroll', 'Funimation', ''];Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.  Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.  [Written by MAL Rewrite]
3;Hunter x Hunter (2011);https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;HxH (2011);HUNTER×HUNTER（ハンター×ハンター）;TV;148;Finished Airing;Oct 2, 2011 to Sep 24, 2014;Fall 2011;Sundays at 10:55 (JST);['VAP', 'Nippon Television Network', 'Shueisha'];VIZ Media;Madhouse;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;9.04;#10;#10;2,587,903;196,187;;['Crunchyroll', 'Netflix', ''];Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.  Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.  During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.  [Written by MAL Rewrite]
4;Naruto: Shippuuden;https://myanimelist.net/anime/1735/Naruto__Shippuuden;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;Naruto Hurricane Chronicles;-ナルト- 疾風伝;TV;500;Finished Airing;Feb 15, 2007 to Mar 23, 2017;Winter 2007;Thursdays at 19:30 (JST);['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];Martial Arts;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.25;#291;#15;2,293,533;105,327;;['Crunchyroll', 'Netflix'];It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.  Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.  [Written by MAL Rewrite]
5;One Piece;https://myanimelist.net/anime/21/One_Piece;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;OP;ONE PIECE;TV;Unknown;Currently Airing;Oct 20, 1999 to ?;Fall 1999;Sundays at 09:30 (JST);['Fuji TV', 'TAP', 'Shueisha'];Funimation, 4Kids Entertainment;Toei Animation;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min.;PG-13 - Teens 13 or older;8.68;#57;#21;2,103,167;191,241;;['Crunchyroll', 'Funimation', '', ''];"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.  Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.  [Written by MAL Rewrite]"
6;Nanatsu no Taizai;https://myanimelist.net/anime/23755/Nanatsu_no_Taizai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;;七つの大罪;TV;24;Finished Airing;Oct 5, 2014 to Mar 29, 2015;Fall 2014;Sundays at 17:00 (JST);['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic'];Funimation;A-1 Pictures;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.68;#1179;#31;1,940,432;19,101;;['Netflix'];"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones.  Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world.  [Written by MAL Rewrite]"
7;Sword Art Online II;https://myanimelist.net/anime/21881/Sword_Art_Online_II;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;Phantom Bullet, SAO II, Sword Art Online 2, SAO 2;ソードアート・オンライン II;TV;24;Finished Airing;Jul 5, 2014 to Dec 20, 2014;Summer 2014;Mondays at 00:00 (JST);['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Games'];Aniplex of America;A-1 Pictures;Light novel;['Action', 'Adventure', 'Fantasy', 'Romance'];;;23 min. per ep.;PG-13 - Teens 13 or older;6.70;#5530;#35;1,871,182;9,175;['Love Polygon', 'Video Game'];['Crunchyroll', 'Netflix'];A year after escaping Sword Art Online, Kazuto Kirigaya has been settling back into the real world. However, his peace is short-lived as a new incident occurs in a game called Gun Gale Online, where a player by the name of Death Gun appears to be killing people in the real world by shooting them in-game. Approached by officials to assist in investigating the murders, Kazuto assumes his persona of Kirito once again and logs into Gun Gale Online, intent on stopping the killer.  Once inside, Kirito meets Sinon, a highly skilled sniper afflicted by a traumatic past. She is soon dragged in his chase after Death Gun, and together they enter the Bullet of Bullets, a tournament where their target is sure to appear. Uncertain of Death Gun's real powers, Kirito and Sinon race to stop him before he has the chance to claim another life. Not everything goes smoothly, however, as scars from the past impede their progress. In a high-stakes game where the next victim could easily be one of them, Kirito puts his life on the line in the virtual world once more.  [Written by MAL Rewrite]
8;Kono Subarashii Sekai ni Shukufuku wo!;https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230128062819_20230106_animeartacademy.png;Give Blessings to This Wonderful World!;この素晴らしい世界に祝福を！;TV;10;Finished Airing;Jan 14, 2016 to Mar 17, 2016;Winter 2016;Thursdays at 01:05 (JST);['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House', 'Kadokawa'];Discotek Media, Crunchyroll;Studio Deen;Light novel;['Adventure', 'Comedy', 'Fantasy'];;;23 min. per ep.;PG-13 - Teens 13 or older;8.12;#426;#39;1,819,090;42,853;['Isekai', 'Parody', 'Reincarnation'];['Crunchyroll', 'Netflix'];"After dying a laughable and pathetic death on his way back from buying a game, high school student and recluse Kazuma Satou finds himself sitting before a beautiful but obnoxious goddess named Aqua. She provides the NEET with two options: continue on to heaven or reincarnate in every gamer's dream—a real fantasy world! Choosing to start a new life, Kazuma is quickly tasked with defeating a Demon King who is terrorizing villages. But before he goes, he can choose one item of any kind to aid him in his quest, and the future hero selects Aqua. But Kazuma has made a grave mistake—Aqua is completely useless!  Unfortunately, their troubles don't end here; it turns out that living in such a world is far different from how it plays out in a game. Instead of going on a thrilling adventure, the duo must first work to pay for their living expenses. Indeed, their misfortunes have only just begun!  [Written by MAL Rewrite]"
9;Bleach;https://myanimelist.net/anime/269/Bleach;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230222013808_20230227_malxhis.png;;BLEACH - ブリーチ -;TV;366;Finished Airing;Oct 5, 2004 to Mar 27, 2012;Fall 2004;Tuesdays at 18:00 (JST);['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha'];VIZ Media;Pierrot;Manga;['Action', 'Adventure', 'Fantasy'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;7.91;#710;#40;1,813,826;67,041;;['Crunchyroll', 'Funimation', '', '', ''];Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result.  However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world.  [Written by MAL Rewrite]
